m,L,P,r,T,rho,epsilon,kappa,del_rad,del_ad,del_actual,convective
6.281576577309262e+32,2.0890602655063722e+33,3.839729245753311e+16,14575067431.646645,8655281.534356993,32.82250650628956,0.7452964348476165,2.9694113630840406,0.26638167084292025,0.39955869189664045,0.26638167084292025,0
6.2915315322622255e+32,2.0898007287273223e+33,3.83237527532696e+16,14586427910.354689,8650863.655115938,32.7763752279174,0.7424083137142712,2.9712867255288757,0.2662558009474317,0.3995587469999065,0.2662558009474317,0
6.30148648721519e+32,2.0905383225285801e+33,3.825032566344999e+16,14597786675.464516,8646448.419388536,32.73028314707017,0.739530605956944,2.9731618845278738,0.2661298896384178,0.39955880169230173,0.2661298896384178,0
6.311441442168153e+32,2.0912730573391697e+33,3.817701098499114e+16,14609143752.853102,8642035.82204454,32.6842302117329,0.7366632743084172,2.975036838936964,0.2660039364812477,0.3995588559735636,0.2660039364812477,0
6.3213963971211176e+32,2.0920049435499253e+33,3.810380851554315e+16,14620499168.342033,8637625.857980007,32.63821637013155,0.7338062816532274,2.9769115875972334,0.2658779410401348,0.3995589098434265,0.2658779410401348,0
6.331351352074082e+32,2.0927339915134916e+33,3.803071805348952e+16,14631852947.697504,8633218.522117302,32.592241570734686,0.7309595910269822,2.978786129334959,0.26575190287813716,0.39955896330162,0.26575190287813716,0
6.3413063070270455e+32,2.0934602115443236e+33,3.7957739397947016e+16,14643205116.630325,8628813.809405088,32.54630576225526,0.7281231656156703,2.9806604629615534,0.26562582155714903,0.3995590163478698,0.26562582155714903,0
6.35126126198001e+32,2.0941836139186867e+33,3.7884872348765704e+16,14654555700.795914,8624411.714818338,32.500408893652235,0.7252969687549912,2.9825345872736198,0.265499696637902,0.3995590689818973,0.265499696637902,0
6.361216216932973e+32,2.094904208874656e+33,3.781211670652899e+16,14665904725.7943,8620012.233358325,32.45455091413237,0.7224809639296644,2.9844085010529335,0.2653735276799613,0.39955912120342013,0.2653735276799613,0
6.371171171885938e+32,2.0956220066121179e+33,3.773947227255357e+16,14677252217.170128,8615615.36005263,32.40873177315186,0.7196751147727606,2.986282203066434,0.2652473142417226,0.39955917301215166,0.2652473142417226,0
6.381126126838901e+32,2.0963370172927677e+33,3.766693884888947e+16,14688598200.412643,8611221.089955134,32.362951420418185,0.7168793850650305,2.988155692066271,0.26512105588041435,0.39955922440780134,0.26512105588041435,0
6.3910810817918655e+32,2.097049251040112e+33,3.759451623832e+16,14699942700.955715,8606829.418146025,32.31720980589165,0.7140937387342254,2.9900289667897577,0.26499475215209134,0.39955927539007463,0.26499475215209134,0
6.401036036744829e+32,2.0977587179394675e+33,3.752220424436183e+16,14711285744.177816,8602440.339731798,32.271506879787296,0.7113181398544515,2.9919020259594347,0.26486840261163996,0.399559325958673,0.26486840261163996,0
6.4109909916977934e+32,2.098465428037961e+33,3.745000267126488e+16,14722627355.40203,8598053.849845244,32.225842592576434,0.7085525526454782,2.9937748682830274,0.26474200681277293,0.3995593761132936,0.26474200681277293,0
6.420945946650757e+32,2.0991693913445297e+33,3.737791132401243e+16,14733967559.896055,8593669.943645464,32.18021689498855,0.7057969414721087,2.9956474924534886,0.2646155643080332,0.3995594258536306,0.2646155643080332,0
6.430900901603721e+32,2.0998706178299213e+33,3.730593000832105e+16,14745306382.872196,8589288.616317866,32.13462973801287,0.7030512708434971,2.997519897149009,0.2644890746487932,0.399559475179373,0.2644890746487932,0
6.4408558565566855e+32,2.1005691174266929e+33,3.723405853064062e+16,14756643849.487373,8584909.863074157,32.089081072900214,0.7003155054125104,2.999392081033002,0.26436253738525545,0.399559524090207,0.26436253738525545,0
6.450810811509649e+32,2.101264900029213e+33,3.716229669815435e+16,14767979984.843115,8580533.679152349,32.04357085116466,0.6975896099750694,3.0012640427541473,0.2642359520664559,0.3995595725858143,0.2642359520664559,0
6.4607657664626134e+32,2.1019579754936596e+33,3.709064431877874e+16,14779314813.985563,8576160.05981676,31.998099024585272,0.6948735494694985,3.0031357809463795,0.26410931824026396,0.3995596206658727,0.26410931824026396,0
6.470720721415577e+32,2.1026483536380216e+33,3.701910120116361e+16,14790648361.905466,8571789.00035801,31.952665545207886,0.6921672889758943,3.0050072942289274,0.26398263545338685,0.3995596683300564,0.26398263545338685,0
6.480675676368541e+32,2.1033360442420977e+33,3.694766715469208e+16,14801980653.538189,8567420.496093025,31.90727036534678,0.6894707937154588,3.006878581206294,0.2638559032513698,0.3995597155780362,0.2638559032513698,0
6.490630631321506e+32,2.1040210570474968e+33,3.6876341989480616e+16,14813311713.763704,8563054.542365037,31.861913437586455,0.6867840290498868,3.008749640468311,0.2637291211786023,0.39955976240947805,0.2637291211786023,0
6.500585586274469e+32,2.1047034017576382e+33,3.680512551637896e+16,14824641567.406597,8558691.13454358,31.816594714783367,0.6841069604807071,3.0106204705901285,0.2636022887783194,0.39955980882404546,0.2636022887783194,0
6.510540541227433e+32,2.105383088037752e+33,3.6734017546970184e+16,14835970239.236061,8554330.26802449,31.771314150067656,0.6814395536486638,3.012491070132254,0.26347540559260835,0.39955985482139683,0.26347540559260835,0
6.520495496180396e+32,2.1060601255148778e+33,3.666301789357066e+16,14847297753.965904,8549971.93822991,31.72607169684489,0.6787817743330712,3.0143614376405576,0.263348471162411,0.3995599004011881,0.263348471162411,0
6.530450451133361e+32,2.1067345237778663e+33,3.659212636923006e+16,14858624136.254547,8545616.140608286,31.680867308797808,0.6761335884511991,3.016231571646293,0.2632214850275288,0.3995599455630704,0.2632214850275288,0
6.540405406086325e+32,2.1074062923773774e+33,3.652134278773142e+16,14869949410.705013,8541262.870634373,31.635700939888107,0.6734949620576388,3.0181014706661173,0.26309444672662907,0.39955999030669226,0.26309444672662907,0
6.550360361039288e+32,2.1080754408258823e+33,3.645066696359103e+16,14881273601.864944,8536912.123809222,31.590572544358107,0.6708658613436803,3.0199711332021253,0.262967355797251,0.399560034631698,0.262967355797251,0
6.560315315992253e+32,2.108741978597662e+33,3.638009871205851e+16,14892596734.226593,8532563.895660195,31.545482076732576,0.6682462526367062,3.021840557741864,0.2628402117758106,0.399560078537728,0.2628402117758106,0
